ASN: 47074 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 203400, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 15695 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 29804 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 39495 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13555 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 26881 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 2631  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 14946 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 62943 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 393226, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 31993 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 25850 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 25709 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 265134, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 197902, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 205817, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 52551 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 133537, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 19679 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 198682, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32886 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 26344 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 393869, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 26710 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 50510 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 62044 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 4358  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3850  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 600   , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 46190 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 200904, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 53400 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 42633 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 60945 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 54116 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 35831 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 62874 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 63063 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 61317 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 34863 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 30687 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 21099 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 197383, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
